,y_code,waste_constituents,annex_8,un_class,annex_3,characteristics,amount,countries_of_transit,country_of_origin,annex_4_a,annex_4_b,country,year
366,Y2,Non Halogenated,,3,"H3,H6.1",Flammable,17.76,,IE,,"R13,R2,R1",United Kingdom of Great Britain and Northern Ireland,2001
367,Y2,Non Halogenated,,3,"H3,H6.1",Flammable,16.5,,IE,,"R13,R2,R1",United Kingdom of Great Britain and Northern Ireland,2001
368,Y2,Non Halogenated,,3,"H3,H6.1",Flammable,19.48,,IE,,"R13,R2,R1",United Kingdom of Great Britain and Northern Ireland,2001
369,Y2,Non Halogenated,,3,"H3,H6.1",Flammable,18.98,,IE,,"R13,R2,R1",United Kingdom of Great Britain and Northern Ireland,2001
370,Y2,Non Halogenated,,3,"H3,H6.1",Flammable,18.56,,IE,,"R13,R2,R1",United Kingdom of Great Britain and Northern Ireland,2001
371,Y2,Non Halogenated,,3,"H3,H6.1",Flammable,21.82,,IE,,"R13,R2,R1",United Kingdom of Great Britain and Northern Ireland,2001
372,Y2,Non Halogenated,,3,"H3,H6.1",Flammable,18.1,,IE,,"R13,R2,R1",United Kingdom of Great Britain and Northern Ireland,2001
373,Y2,Non Halogenated,,3,"H3,H6.1",Flammable,17.94,,IE,,"R13,R2,R1",United Kingdom of Great Britain and Northern Ireland,2001
374,Y2,Non Halogenated,,3,"H3,H6.1",Flammable,16.86,,IE,,"R13,R2,R1",United Kingdom of Great Britain and Northern Ireland,2001
375,Y2,Non Halogenated,,3,"H3,H6.1",Flammable,18.56,,IE,,"R13,R2,R1",United Kingdom of Great Britain and Northern Ireland,2001
